episode_id,blank_id,answer,alt_answers,in_source,answer_from,evidence,hint
soldier,A,판문점,,A,B,B 신문 기사 제목: 판문점에서 쌍방 서명 완료,이 편지 속 장소는 다른 자료에서 확인할 수 있습니다. 자료 B(신문)를 읽어보세요.
soldier,B,해리슨 2세,해리슨;Harrison,B,C,C 사진1 캡션: 해리슨 2세(왼쪽 테이블),이 인물은 사진 자료에서 확인할 수 있습니다. 자료 C(사진)의 캡션을 읽어보세요.
soldier,C,남일,,C,B,B 신문 본문: 남일 대장,공산군 측 수석대표의 이름은 자료 B(신문)에서 확인할 수 있습니다.
soldier,D,4,사;4km;4킬로미터,D,B,B 신문: 각 2킬로미터씩 → 2+2=4 유추,각 2킬로미터씩 후퇴하면 총 폭은? 자료 B(신문)를 참고하세요.
student,A,4,네;넷;4명,A,B,B 뉴스: 졸업생은 총 4명,졸업생 수는 자료 B(뉴스)에서 확인할 수 있습니다.
student,B,유엔군사령부,UNC;유엔군사령부(UNC);유엔군 사령부;유엔;UN,B,D,D 구술: 유엔군사령부에서도 나오고,영어 수업을 담당하는 곳은? 자료 D(구술)에 힌트가 있습니다.
student,C,기정동,,C,A,A 일기: 기정동 마을이 보이는 것도 신기했다,북쪽에 보이는 마을 이름은? 자료 A(일기)를 참고하세요.
student,D,통일부,,D,B,B 뉴스: 통일부 관계자,졸업식에 참석하는 기관은? 자료 B(뉴스)에서 확인하세요.
historian,A,궁예,,A,D,D 구술: 궁예가 나라를 세우고 수도를 만든 곳,905년에 이 성을 쌓은 인물은? 자료 D(구술)에서 확인하세요.
historian,B,군사분계선,MDL;군사분계선(MDL);군사 분계선,B,D,D 구술: 군사분계선이 철원성을 거의 정확하게 반으로,도성을 관통하는 것은? 자료 A(일기)에 힌트가 있습니다.
historian,C,"12,306",12306;12306m;12,306m,C,B,B 신문: 외성 둘레 약 12306m,외성 둘레는? 자료 B(신문)에서 확인하세요.
historian,D,평화전망대,전망대;철원 평화전망대,D,A,A 일기: 오늘도 평화전망대에 올라서,망원경으로 성을 보는 장소는? 자료 A(일기)에서 확인하세요.
