시나리오,선택지,라벨,시간비용,에너지비용,시간(상대),노력(상대),비용상_칸,아리공_의미가설,가설_기대_칸,일치,비고
자기소개글,A1,나를 떠올리는 단어에서 시작해 직접 글을 쓴다,16,14,高,高,시간高·노력高,사람1,시간高·노력高,O,
자기소개글,A2,나를 소개할 만한 일을 떠올려 짧은 이야기로 쓴다,15,13,高,高,시간高·노력高,사람1,시간高·노력高,O,
자기소개글,A3,서툴어도 일단 초안을 쓴 뒤 필요한 도움만 받는다,12,10,高,高,시간高·노력高,사람1,시간高·노력高,O,
자기소개글,B1,AI 질문에 떠오르는 만큼 답하고 글을 만든다,6,5,低,低,시간低·노력低,AI1,시간低·노력低,O,
자기소개글,B2,AI에게 글의 순서를 받고 내 이야기에 맞게 바꾼다,8,6,低,低,시간低·노력低,AI2,시간低·노력高,X,
자기소개글,B3,AI 초안을 받고 좋아 보이는 문장과 내 메모를 섞어 글을 만든다,10,8,低,低,시간低·노력低,AI2,시간低·노력高,X,
자기소개글,C1,아무 정보 없이 AI에게 바로 써달라고 한다,3,2,低,低,시간低·노력低,AI1,시간低·노력低,O,
자기소개글,C2,내 정보 몇 가지만 넣어 AI에게 써달라고 한다,5,4,低,低,시간低·노력低,AI1,시간低·노력低,O,내 정보 몇 개만 넣고 AI에 맡김
자기소개글,C3,AI 글을 받은 뒤 내 글로 다시 쓴다,11,9,高,高,시간高·노력高,AI2,시간低·노력高,X,AI 글을 받아 내 글로 다시 씀 — 재소유
모둠발표,A1,모둠원들과 발표 질문을 먼저 정한다,16,14,高,高,시간高·노력高,사람1,시간高·노력高,O,
모둠발표,A2,역할을 나누고 각자 맡을 내용을 정한다,14,12,高,高,시간高·노력高,사람1,시간高·노력高,O,
모둠발표,A3,내가 맡은 내용을 먼저 이해하고 말로 정리한다,15,13,高,高,시간高·노력高,사람1,시간高·노력高,O,
모둠발표,B1,AI에게 발표 주제와 개요를 부탁한다,5,4,低,低,시간低·노력低,AI1,시간低·노력低,O,
모둠발표,B2,AI에게 슬라이드 문구를 만들어 달라고 한다,4,3,低,低,시간低·노력低,AI1,시간低·노력低,O,슬라이드 문구 통째 요청 — 자기 입력 없음
모둠발표,B3,내가 찾은 자료를 바탕으로 AI에게 발표 대본 초안을 받는다,10,9,低,低,시간低·노력低,AI2,시간低·노력高,X,
모둠발표,C1,모둠 회의 없이 각자 자료를 찾아 합친다,13,11,高,高,시간高·노력高,AI1,시간低·노력低,X,
모둠발표,C2,발표를 잘하는 친구나 한 사람에게 많이 맡긴다,8,7,低,低,시간低·노력低,사람2,시간低·노력低,O,AI 아닌 타인(친구)에게 위임
모둠발표,C3,자료보다 발표 모양을 먼저 만든다,12,10,低,低,시간低·노력低,사람2,시간低·노력低,O,
어린왕자,A1,처음부터 읽고 짧게라도 독후감을 쓴다,18,16,高,高,시간高·노력高,사람1,시간高·노력高,O,
어린왕자,A2,읽다가 밑줄 친 문장이나 장면을 중심으로 쓴다,16,14,高,高,시간高·노력高,사람1,시간高·노력高,O,
어린왕자,A3,이해되지 않는 부분을 붙들고 독후감을 쓴다,18,16,高,高,시간高·노력高,사람1,시간高·노력高,O,
어린왕자,B1,AI나 검색 요약으로 줄거리를 파악하고 중요한 장면 하나를 책에서 찾아 읽는다,9,8,低,低,시간低·노력低,AI1,시간低·노력低,O,
어린왕자,B2,유명한 문장이나 소개 자료를 보고 그 앞뒤 장면을 직접 읽는다,9,8,低,低,시간低·노력低,사람1?,시간高·노력高,X,"자료는 남의 것, 읽기는 직접 — 혼합"
어린왕자,B3,책을 읽으며 AI에게 궁금한 점을 물어보고 내 생각을 정리한다,12,10,高,高,시간高·노력高,AI3,시간高·노력高,O,책도 읽고 AI에도 묻는 깊은 협업
어린왕자,C1,AI에게 줄거리와 독후감 초안을 바로 부탁한다,4,3,低,低,시간低·노력低,AI1,시간低·노력低,O,
어린왕자,C2,검색한 줄거리나 영상 소개만 보고 독후감을 쓴다,6,5,低,低,시간低·노력低,사람2,시간低·노력低,O,검색 줄거리에 기댐
어린왕자,C3,유명한 문장이나 분위기만으로 독후감을 쓴다,6,5,低,低,시간低·노력低,사람2,시간低·노력低,O,
진로,A1,내가 자주 보는 것과 좋아하는 것을 적어본다,14,12,高,高,시간高·노력高,사람1,시간高·노력高,O,
진로,A2,AI 시대에 내가 걱정하는 말을 적어본다,13,11,高,高,시간高·노력高,사람1,시간高·노력高,O,
진로,A3,관심을 작은 실험으로 바꿔본다,16,14,高,高,시간高·노력高,사람1,시간高·노력高,O,
진로,B1,AI에게 앞으로 유망한 일을 추천받는다,4,3,低,低,시간低·노력低,AI1,시간低·노력低,O,
진로,B2,AI에게 내 관심으로 만들 수 있는 새 일을 제안받는다,8,6,低,低,시간低·노력低,AI1,시간低·노력低,O,제안 받기 — 자기 입력은 관심사 나열 정도
진로,B3,AI로 작은 결과물을 만들어보고 진로를 생각한다,10,8,低,低,시간低·노력低,AI2,시간低·노력高,X,
진로,C1,유튜브나 뉴스에서 본 유망한 길을 찾아본다,10,8,低,低,시간低·노력低,AI1,시간低·노력低,O,
진로,C2,"부모님, 친구, 선생님이 좋다고 한 길을 따라본다",8,7,低,低,시간低·노력低,사람2,시간低·노력低,O,권유 따라가기
진로,C3,"인기 학과나 자격증, 안정적인 길을 먼저 찾아본다",9,8,低,低,시간低·노력低,사람2,시간低·노력低,O,
시험2주전,A1,문제를 조금 풀어보고 약한 단원을 찾는다,17,15,高,高,시간高·노력高,사람1,시간高·노력高,O,
시험2주전,A2,시험 범위표를 보며 아는 단원과 모르는 단원을 나눈다,14,12,高,高,시간高·노력高,사람1,시간高·노력高,O,
시험2주전,A3,과목별 자신감과 실제 문제 풀이를 비교한다,16,14,高,高,시간高·노력高,사람1,시간高·노력高,O,
시험2주전,B1,AI에게 2주 공부 계획표를 만들어 달라고 한다,4,3,低,低,시간低·노력低,AI1,시간低·노력低,O,
시험2주전,B2,AI에게 내 약점을 말하고 공부 순서를 받는다,8,7,低,低,시간低·노력低,AI2?,시간低·노력高,X,"약점을 말하고 받음 — 자기 입력 있음, 경계"
시험2주전,B3,내 약점과 시험 범위를 넣어 AI에게 요약본이나 예상문제를 받는다,10,9,低,高,시간低·노력高,AI2,시간低·노력高,O,
시험2주전,C1,친구나 학원 계획표를 따라 한다,7,6,低,低,시간低·노력低,AI1,시간低·노력低,O,
시험2주전,C2,작년 시험지나 인터넷 요약 자료에 기대어 공부한다,10,8,低,低,시간低·노력低,사람2,시간低·노력低,O,남의 자료에 기댐
시험2주전,C3,책상 정리나 쉬운 과목처럼 부담 없는 일부터 한다,5,4,低,低,시간低·노력低,사람2,시간低·노력低,O,
